VESSEL,Haul,STATION,NMFSBox,LAT_DD,LON_DD,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,StarryFlounder,RockSole,Other
Vesteraalen,112,N1,I-07,57.794907,-164.038592,0,0,0,0.65,0,1.35,2.43,2.52
Vesteraalen,113,N10,I-07,56.301562,-164.015585,36.28,1.46,0,0,70.22,0,14.89325634,87.52674366
Vesteraalen,114,N11,H-07,56.135481,-164.013143,54.46,2.62,0,1.01,72.07,0,40.84,58.1
Vesteraalen,115,N12,H-07,55.969366,-164.010723,20.21,4.06,0,0.71,26.64,0,29.09,60.33
Vesteraalen,116,N13,G-07,55.803215,-164.008325,10.84,15.02,0,0,474.94,0,6.41,53.66
Vesteraalen,117,N14,G-07,55.637028,-164.005948,40,39.25,0,0,25.82,0,1.62,213.11
Vesteraalen,118,N15,F-07,55.470803,-164.003592,26.74,3.79,0,0,101.74,0,1.4,111.31
Vesteraalen,119,N16,F-07,55.30454,-164.001257,16.11,0.58,0,0,64.43,0,44.35984928,77.45015072
Vesteraalen,120,N17,E-07,55.138237,-163.998942,28.48,0,0,0,7.41,0,62.06,14.36
Vesteraalen,121,N2,E-07,57.62909,-164.03594,0,0,0,0.9,0,5.49,1.96,16.99
Vesteraalen,122,N3,D-07,57.463247,-164.033313,0,0,0,15.1,1.36,14.09,9.13,61.12
Vesteraalen,123,N4,D-07,57.297379,-164.03071,0,0,0,11.42,8.67,1.83,17.88,39.41
Vesteraalen,124,N5,C-07,57.131484,-164.028131,0.38,0,0,30.77,39.37,3.11,29.25,31.76
Vesteraalen,125,N6,C-07,56.96556,-164.025575,9.07,0,0,75.9455814,44.75,0,30.46581395,16.30860465
Vesteraalen,126,N7,B-07,56.799607,-164.023043,6.37,0,0,82.65066593,78.52,0,101.77092,21.4394141
Vesteraalen,127,N8,B-07,56.633624,-164.020535,16.72,0,0,17.20887029,62.59,0,35.97824268,28.57288703
Vesteraalen,128,N9,NA,56.467609,-164.018048,89.79,0.61,0,2.36,110.33,0,15.65,30.06
Vesteraalen,111,O1,I-08,57.799886,-163.570139,0.07,0,0,2.32,0,0.77,1.7,2.1
Vesteraalen,97,O10,E-08,56.306498,-163.566152,14.41,0,0,3.790410095,151.96,0,16.75116719,100.0184227
Vesteraalen,96,O11,D-08,56.140413,-163.565729,10.37,4.08,0,0,64.97,0,85.49942872,62.43057128
Vesteraalen,95,O12,D-08,55.974294,-163.56531,23.98,2.41,0,0,60.46,0,70.63,54.94
Vesteraalen,94,O13,C-08,55.808139,-163.564894,18.62,2.76,0,5.267253521,126.86,0,79.00880282,134.4039437
Vesteraalen,93,O14,C-08,55.641947,-163.564482,29.48,1.3,0,0,30.76,0,56.27677282,115.7532272
Vesteraalen,92,O15,B-08,55.475718,-163.564074,4.01,0,1.09,5.767537688,41.54,26.39085427,34.95477387,149.3668342
Vesteraalen,91,O16,B-08,55.309451,-163.563669,14.74,0.24,5.86,0.94,24.19,1.42,63.08,1.15
Vesteraalen,90,O17,B-08,55.143145,-163.563268,0,0,0,0,0,23.81,48.99,13.06
Vesteraalen,105,O2,I-08,57.634064,-163.569679,0.27,0,0,1.74,0.04,7.07,2.84,46.13
Vesteraalen,104,O3,H-08,57.468216,-163.569224,0.31,0.52,0,14.08,0,11.06,11.19,72.6
Vesteraalen,103,O4,H-08,57.302343,-163.568773,4.81,0,0,15.23400574,3.79,26.30903446,39.81402728,66.40293252
Vesteraalen,102,O5,G-08,57.136443,-163.568326,5.12,0,2.85,18.34,5.93,2.47,20.32,13.72
Vesteraalen,101,O6,G-08,56.970514,-163.567883,4.13,0,0,7.56,12.34,0.82,15.54,2.7
Vesteraalen,100,O7,F-08,56.804557,-163.567445,5.46,0,0,4.76,29.62,0,11.22,4.02
Vesteraalen,99,O8,F-08,56.638569,-163.56701,13.74,0,0,21,60.73,0,10.45,27.52
Vesteraalen,98,O9,E-08,56.47255,-163.566579,76.86,1.42,0.96,22.16122052,208.98,0,63.61849057,17.72028892
Vesteraalen,110,P1,I-08,57.799376,-163.101616,0.16,0,0,0.83,0.26,2.92,2.95,3.7
Vesteraalen,83,P10,E-09,56.306008,-163.116655,0,1.82,0,4.91,17.25,0,28.5,63.8
Vesteraalen,84,P11,D-09,56.139925,-163.118252,0,0.44,0,8.326710214,180.12,0,28.29874703,78.50454276
Vesteraalen,85,P12,D-08,55.973808,-163.119833,4.31,0,0,0,69.05,0,144.6374916,113.8625084
Vesteraalen,86,P13,D-08,55.807655,-163.121401,6.67,11.63,4.69,0,36.28,0,91.9265285,103.4734715
Vesteraalen,89,P14,C-08,55.641466,-163.122955,1,1.36,1.34,49.29977528,10.5,0,120.9385112,107.2917135
Vesteraalen,87,P16,B-08,55.308974,-163.126021,0,0,0,0.01,0,0.42,1.56,1.16
Vesteraalen,109,P2,I-08,57.633556,-163.103349,0.02,0,0,1.01,0.1,0.88,3.16,8.03
Vesteraalen,108,P3,H-08,57.467711,-163.105067,0.33,0,0,3.33,0.06,9.53,16.36,21.03
Vesteraalen,107,P4,H-08,57.30184,-163.106768,0.14,0,1.21,34.05299222,4.74,15.31120753,17.00844044,33.9773598
Vesteraalen,106,P5,G-08,57.135942,-163.108454,0,0,0,35.96112922,1.27,9.960079523,40.78390457,58.06488668
Vesteraalen,79,P6,G-08,56.970016,-163.110125,0.06,0,0,49.09433303,0.62,5.20484333,94.74221576,17.08860788
Vesteraalen,80,P7,F-09,56.804061,-163.11178,2.03,0.75,0,82.69530277,0.11,0,233.8546237,43.63007357
Vesteraalen,81,P8,F-09,56.638075,-163.11342,12.09,2.12,7.95,30.25331593,45.86,0,312.5729765,25.42370757
Vesteraalen,82,P9,E-09,56.472058,-163.115045,28.95,0,9.32,42.02994516,142.7,0,65.24051188,52.33954296
Vesteraalen,78,Q1,I-09,57.797112,-162.633129,0.07,0,0,0.53,0,1.66,1.15,1.42
Vesteraalen,69,Q10,E-09,56.303833,-162.667192,0,0,0,25.16,27.34,8.49,75.42,77.38
Vesteraalen,68,Q11,D-09,56.137759,-162.670806,1.01,0,0,3.98,11.1,5.89,136.05,64.86
Vesteraalen,67,Q12,D-09,55.971651,-162.674389,3.84,0,0,21.46696665,170.94,12.50831128,235.6295394,49.69518264
Vesteraalen,66,Q13,C-09,55.805507,-162.677939,4.39,0.41,1.62,10.87519231,7.73,57.35125,166.2057692,11.47778846
Vesteraalen,65,Q14,C-09,55.639327,-162.681458,0,0.33,0.32,7.74,0.14,7.53,19.25,1.56
Vesteraalen,88,Q15,NA,55.473109,-162.684946,0,0,0.15,5,0,0.44,2.79,3.32
Vesteraalen,77,Q2,I-09,57.631302,-162.637056,0.04,0,0,0.13,0.03,0.28,0.71,0.86
Vesteraalen,76,Q3,H-09,57.465467,-162.640946,0,0,0,0.48,0.02,0.61,1.91,2.73
Vesteraalen,75,Q4,H-09,57.299606,-162.644799,0,0,0,1,0.6,1.48,3.24,7.83
Vesteraalen,74,Q5,G-09,57.133718,-162.648617,0,0,0.7,20.60942776,0.85,13.13905949,35.02284419,22.81866856
Vesteraalen,73,Q6,G-09,56.967802,-162.652401,0,0.29,0.37,57.81878755,3.01,28.32771583,86.55367794,59.02981867
Vesteraalen,72,Q7,F-09,56.801856,-162.656149,0.55,0.33,3.08,343.9499509,6.66,33.16868796,58.97953317,51.47182801
Vesteraalen,71,Q8,F-09,56.63588,-162.659863,20.69,6.55,0,111.0085775,49.72,0,130.0301276,89.0912949
