"HAUL_ID","CRUISE","VESSEL","HAUL","STATION","LAT_DD","LON_DD","SPECIES_CODE","SPECIES_NAME","WEIGHT","SAMPLING_FACTOR","CALC_WEIGHT"
4,202301,"Vesteraalen",1,"U8",56.610105,-160.846817,21371,"plain sculpin",1.62,1,1.62
4,202301,"Vesteraalen",1,"U8",56.610105,-160.846817,21740,"walleye pollock",2.15,1,2.15
4,202301,"Vesteraalen",1,"U8",56.610105,-160.846817,10210,"yellowfin sole",5.22,1,5.22
4,202301,"Vesteraalen",1,"U8",56.610105,-160.846817,21720,"Pacific cod",0.1,1,0.1
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10210,"yellowfin sole",293.03,1,293.03
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10261,"northern rock sole",238.65,1,238.65
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,21740,"walleye pollock",44.94,1,44.94
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,21370,"great sculpin",2.91,1,2.91
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,21371,"plain sculpin",1.95,1,1.95
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10220,"starry flounder",22.71,1,22.71
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,400,"skate unid.",16.66,1,16.66
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,21720,"Pacific cod",8.9,1,8.9
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10130,"flathead sole",0.63,1,0.63
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10285,"Alaska plaice",0.33,1,0.33
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10110,"arrowtooth flounder",0.01,1,0.01
5,202301,"Vesteraalen",2,"U7",56.775968,-160.834822,10120,"Pacific halibut",2.39,1,2.39
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,10210,"yellowfin sole",5.67,5.63414925373134,31.9456262686567
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,21370,"great sculpin",10.21,1,10.21
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,21371,"plain sculpin",14.89,1,14.89
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,21720,"Pacific cod",1.33,1,1.33
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,21740,"walleye pollock",3.91,1,3.91
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,10261,"northern rock sole",76.81,5.63414925373134,432.759004179105
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,10220,"starry flounder",1.27,5.63414925373134,7.15536955223881
6,202301,"Vesteraalen",3,"U6",56.941799,-160.822716,10120,"Pacific halibut",0.87,1,0.87
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,21371,"plain sculpin",15.42,1,15.42
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,21370,"great sculpin",5.41,1,5.41
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,21720,"Pacific cod",0.18,1,0.18
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,21740,"walleye pollock",0.87,1,0.87
7,202301,"Vesteraalen",4,"U5",57.1076,-160.810499,10210,"yellowfin sole",59.44,2.98226623675725,177.265905112851
