VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,Starry Flounder,Other
162,1,x740,3/18/2024,4,,,,,,,5,,,3,,,27 seastar
162,2,A30,3/18/2024,5,,,,,,,6,,1,,,,2 seastar
162,3,x260,3/18/2024,,,,,,,,8,,,1,,,"1 AK skate, 4 seastar"
162,4,x166,3/18/2024,,,,,,,,8,,,4,,,"1 seastar, 1 unmeasured male RKC"
162,5,x658,3/18/2024,,,,,,,,6,,,3,,,
162,6,X12,3/18/2024,1,,,,,,,4,,,6,,,1 seastar
162,7,x930,3/18/2024,2,,,,,,,8,,,20,,,8 seastar
162,8,x301,3/18/2024,,,,,,,,6,,,7,,,3 seastar
162,9,D26,3/18/2024,1,,,,,,,7,,,12,,,
162,10,D12,3/18/2024,1,,,,,,,10,,1,5,,1,"3 seastar, 1 unmeasured male RKC"
162,11,D16,3/18/2024,1,,,,,,,3,,,1,1,,"4 seastars, "
162,12,x159,3/18/2024,1,,,,,,,5,,,2,,,1 seastar
162,13,X76,3/18/2024,,,,,,,,4,,,4,,,3 seastar
162,14,D72,3/18/2024,2,,,,,,,7,,,2,,,21 seastar
162,15,x322,3/18/2024,8,,,,,,,10,,,2,,,"1 jelly, 8 seastar"
162,16,x724,3/18/2024,1,,,,,,,4,,,5,,,"1 jelly, 9 seastar"
162,17,x15,3/18/2024,3,,,,,,,5,,,1,,,20 seastar
162,18,x686,3/18/2024,3,,,,,,,6,,,6,,,14 seastar
162,19,A18,3/18/2024,2,,,,,,,,,,4,,,80 seastar
162,20,X43,3/18/2024,,,,,,,,,,,,,,32 seastar
162,21,425,3/19/2024,,,,,,,,,,,,,,23 seastars
162,22,214,3/19/2024,1,,,,,,,2,,,,,,149 seastars
162,23,X49,3/19/2024,,,,,,,,1,,,,,,"1big mouth sculpin, 81 seastars, 3 jelly"
162,24,x  010,3/19/2024,,,,,,,,,,,1,,,"57 seastars, 5 jelly"
162,25,823,3/19/2024,,,,,,,,2,,,32,,,68 seastars
162,26,165,3/19/2024,2,,,,,,,1,,1,16,1,,
162,27,875,3/19/2024,,,,,,,,11,,,35,,,79 seastars
162,28,X62,3/19/2024,1,,,,,,,7,,,71,,,25 seastar
162,29,A31,3/19/2024,,,,,,,,6,,,12,,,8 seastar
162,30,301,3/19/2024,1,,,,,,,2,,,8,1,,
162,31,A45,3/19/2024,1,,,,,,,2,,,3,,,
162,32,900,3/19/2024,1,,1,,,,,1,,,,,,
162,33,x 040,3/19/2024,2,,,,,,,2,,,3,,,
162,34,162,3/19/2024,,,,,,,,3,,,3,,,
162,35,Y18,3/19/2024,2,,,,,,,,,,3,,,
162,36,919,3/19/2024,1,,,,,,,1,,,2,1,,2 seastars
162,37,A03,3/19/2024,2,,,,,,,6,,,3,1,,"3 seastars, 1 sea cucumber"
162,38,A49,3/19/2024,,,,,,,,9,,1,1,,,"16 seastars, 1 lyre crab,  seacumber"
