VESSEL,SPN,POT_ID,BUOY,DATE_SET,TIME_SET,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,DEPTH_F,DATE_HAUL,TIME_HAUL,GEAR_Code,TEMP_LOGGER,NOTES
162,1,G35,740,3/17/2024,5:59,56,40.369,161,31.419,48.9,3/18/2024,12:44,,242,
162,2,G36,A30,3/17/2024,6:15,56,38.376,161,31.528,45,3/18/2024,13:03,,,
162,3,G37,260,3/17/2024,6:30,56,36.401,161,31.625,41.1,3/18/2024,13:23,,,
162,4,G38,166,3/17/2024,6:45,56,34.426,161,31.739,37.1,3/18/2024,13:44,,Cory 1,
162,5,G39,658,3/17/2024,7:00,56,32.403,161,31.834,42.4,3/18/2024,14:06,,,
162,6,G40,X12,3/17/2024,7:14,56,30.41,161,31.963,36.4,3/18/2024,14:28,,230,
162,7,G41,930,3/17/2024,7:28,56,28.428,161,32.075,36.8,3/18/2024,14:51,,,
162,8,G42,301,3/17/2024,7:42,56,26.431,161,32.169,35.8,3/18/2024,15:15,,,
162,9,G43,D26,3/17/2024,7:56,56,24.449,161,32.276,35.6,3/18/2024,15:36,,238,
162,10,G44,D12,3/17/2024,8:10,56,22.447,161,32.377,36.9,3/18/2024,15:58,,Cory 2,
162,11,G45,D16,3/17/2024,8:25,56,20.456,161,32.502,34.5,3/18/2024,16:23,,,
162,12,G46,159,3/17/2024,8:39,56,18.467,161,32.589,34,3/18/2024,16:46,,241,
162,13,G47,X76,3/17/2024,8:53,56,16.462,161,32.7,34.3,3/18/2024,17:08,,,
162,14,G48,x   072,3/17/2024,9:07,56,14.472,161,32.8,32.9,3/18/2024,17:30,,254,
162,15,G49,322,3/17/2024,9:21,56,12.488,161,32.916,30.9,3/18/2024,17:51,,,
162,16,G50,724,3/17/2024,9:34,56,10.496,161,32.993,29.5,3/18/2024,18:12,,,
162,17,G51,X15,3/17/2024,9:48,56,8.499,161,33.099,28.5,3/18/2024,18:30,,247,
