VESSEL,SPN,POT_ID,BUOY,DATE_SET,TIME_SET,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,DEPTH_F,DATE_HAUL,TIME_HAUL,GEAR_Code,TEMP_LOGGER,NOTES
134,1,B83,X36,3/17/2024,602,55,5.57,163,46.84,15,3/18/2024,1338,,ADFG 246,
134,2,B82,X51,3/17/2024,619,55,7.55,163,46.86,18,3/18/2024,1355,,,
134,3,B81,227,3/17/2024,636,55,9.56,163,46.88,23,3/18/2024,1412,,,
134,4,B80,X67,3/17/2024,651,55,11.56,163,46.89,26,3/18/2024,1428,,ADFG 253,
134,5,B79,X39,3/17/2024,705,55,13.54,163,46.91,29,3/18/2024,1446,,,
134,6,B78,741,3/17/2024,719,55,15.53,163,46.92,31,3/18/2024,1503,,,
134,7,B77,210,3/17/2024,732,55,17.44,163,46.91,34,3/18/2024,1518,,,
134,8,B76,209,3/17/2024,746,55,19.51,163,46.96,36,3/18/2024,1536,,ADFG 257,
134,9,B75,X57,3/17/2024,800,55,21.52,163,46.98,39,3/18/2024,1555,,,
134,10,B74,218,3/17/2024,814,55,23.51,163,46.97,43,3/18/2024,1613,,,
134,11,B73,608,3/17/2024,828,55,25.52,163,47,45,3/18/2024,1630,,,
134,12,B72,X45,3/17/2024,842,55,27.5,163,47.03,46,3/18/2024,1648,,ADFG 225,
134,13,B71,A38,3/17/2024,856,55,29.5,163,47.04,46,3/18/2024,1705,,,
134,14,B70,213,3/17/2024,911,55,31.49,163,47.05,47,3/18/2024,1722,,,
134,15,B69,220,3/17/2024,924,55,33.47,163,47.07,46,3/18/2024,1741,,,
134,16,B68,102,3/17/2024,938,55,35.48,163,47.09,47,3/18/2024,1757,,ADFG 243,
134,17,B67,174,3/17/2024,952,55,37.5,163,47.11,49,3/18/2024,1815,,,
134,18,B66,Y13,3/17/2024,1006,55,39.47,163,47.12,51,3/18/2024,1833,,,
134,19,B65,720,3/17/2024,1019,55,41.47,163,47.13,52,3/18/2024,1853,,,
134,20,B64,X56,3/17/2024,1033,55,43.46,163,47.15,51,3/18/2024,1912,,ABSC 11,
134,21,B63,981,3/17/2024,1047,55,45.46,163,47.18,51,3/18/2024,1928,,,
134,22,B62,X59,3/17/2024,1101,55,47.45,163,47.19,51,3/18/2024,1945,,,
134,23,B61,43,3/17/2024,1114,55,49.46,163,47.2,51,3/18/2024,2003,,ABSC 12,
134,24,C61,X24,3/18/2024,642,55,49.49,163,20.57,49,3/19/2024,1227,,ADFG 256,
134,25,C62,225,3/18/2024,658,55,47.5,163,20.58,48,3/19/2024,1247,,,
134,26,C63,X87,3/18/2024,714,55,45.44,163,20.59,48,3/19/2024,1307,,,
134,27,C64,X48,3/18/2024,728,55,43.5,163,20.6,46,3/19/2024,1326,,ADFG 219,
134,28,C65,X21,3/18/2024,743,55,41.51,163,20.6,45,3/19/2024,1346,,,
134,29,C66,501,3/18/2024,758,55,39.52,163,20.61,44,3/19/2024,1405,,ADFG 224,
134,30,C67,Y10,3/18/2024,814,55,37.52,163,20.63,42,3/19/2024,1425,,,
134,31,C68,X40,3/18/2024,831,55,35.53,163,20.63,38,3/19/2024,1444,,,
134,32,C69,X92,3/18/2024,848,55,33.53,163,20.63,37,3/19/2024,1503,,ADFG 232,
134,33,C70,402,3/18/2024,904,55,31.54,163,20.65,36,3/19/2024,1521,,,
134,34,C71,305,3/18/2024,920,55,29.55,163,20.65,35,3/19/2024,1539,,,
134,35,C72,A19,3/18/2024,936,55,27.55,163,20.66,33,3/19/2024,1557,,ADFG 223,
134,36,C73,X75,3/18/2024,951,55,25.55,163,20.66,30,3/19/2024,1615,,,
134,37,C74,X61,3/18/2024,1005,55,23.55,163,20.67,29,3/19/2024,1632,,,
134,38,C75,67,3/18/2024,1022,55,21.57,163,20.68,27,3/19/2024,1648,,ADFG 244,
134,39,C76,937,3/18/2024,1036,55,19.57,163,20.68,25,3/19/2024,1705,,,
134,40,C77,Y17,3/18/2024,1051,55,17.56,163,20.69,26,3/19/2024,1722,,,
134,41,C78,21,3/18/2024,1107,55,15.56,163,20.7,24,3/19/2024,1738,,ABSC 9,
