vessel_name,POT_ID,tow_id,datetime,latitude,longitude,depth_fm,depth_m,temperature_F,temperature_C
Arctic Lady,G38,18022,3/17/2024 14:52,56.5737,-161.529,37.38253445,68.365179,34.62063459,1.455908108
Arctic Lady,G44,17986,3/17/2024 16:17,56.37435,-161.5395,37.3302261,68.26951749,34.43695368,1.353863158
Arctic Lady,G53,18039,3/17/2024 18:22,56.0752,-161.556,24.91319648,45.56125372,32.37654439,0.209191327
Arctic Lady,H46,18075,3/18/2024 15:35,56.33285,-161.0935,29.54328737,54.02876395,33.09405691,0.607809392
Arctic Lady,H41,18005,3/18/2024 16:42,56.4987,-161.081,37.48629445,68.55493529,33.90499185,1.058328804
Arctic Lady,H33,18058,3/18/2024 18:30,56.76425,-161.063,39.07338925,71.45741427,33.92010737,1.066726316
Arctic Lady,I37,18040,3/19/2024 14:07,56.6221,-160.616,35.44003278,64.81273194,33.49810254,0.832279188
Arctic Lady,I46,17987,3/19/2024 16:42,56.32305,-160.6415,19.8653468,36.32974623,31.67708363,-0.179397985
Arctic Lady,J39,18059,3/20/2024 14:37,56.5438,-160.1715,19.07061002,34.8763316,31.28685436,-0.39619202
Arctic Lady,J31,18006,3/20/2024 16:32,56.80855,-160.147,32.97624249,60.30695227,33.19029778,0.661276543
Arctic Lady,J26,18076,3/20/2024 17:34,56.9739,-160.1325,34.45365397,63.00884238,33.31297897,0.729432763
Arctic Lady,K14,17988,3/21/2024 16:00,57.39345,-159.627,31.40535601,57.43411506,31.83540056,-0.091444134
Arctic Lady,K23,18041,3/21/2024 18:38,57.0945,-159.664,30.74204094,56.22104447,32.92397479,0.513319328
Arctic Lady,K26,18023,3/21/2024 19:31,56.99485,-159.672,30.35546837,55.51408056,32.78343483,0.435241573
Arctic Lady,J15,18077,3/22/2024 15:15,57.33885,-160.0965,32.8488178,60.07391799,32.84206059,0.467811437
Arctic Lady,J10,18007,3/22/2024 16:23,57.50415,-160.084,30.66839715,56.08636471,32.13983594,0.077686636
Arctic Lady,J02,18060,3/22/2024 18:07,57.7687,-160.0565,27.37746962,50.06791645,30.41196712,-0.882240487
Arctic Lady,I04,18024,3/24/2024 14:38,57.71605,-160.532,31.23796033,57.12798186,31.42314192,-0.320476712
Arctic Lady,I07,18042,3/24/2024 15:19,57.6174,-160.539,32.57186654,59.56742952,31.76371576,-0.131269022
Arctic Lady,I16,17989,3/24/2024 17:22,57.319,-160.5625,34.11507001,62.38964003,33.5877344,0.882074667
Arctic Lady,H19,18061,3/25/2024 14:14,57.22825,-161.035,35.98005207,65.80031923,33.87398947,1.041105263
Arctic Lady,H11,18008,3/25/2024 16:05,57.4926,-161.014,31.94846888,58.42735989,33.45245738,0.806920765
Arctic Lady,H06,18078,3/25/2024 17:15,57.65935,-161.0015,30.59726919,55.9562859,31.82791902,-0.095600543
Arctic Lady,I31,17990,3/26/2024 15:04,56.8191,-160.6045,36.66727184,67.05710674,33.8130687,1.007260388
Arctic Lady,I22,18043,3/26/2024 17:16,57.1178,-160.581,35.08080647,64.15577887,33.75728689,0.976270492
Arctic Lady,BAIT6,18079,3/27/2024 14:02,57.27745,-161.1095,36.64931198,67.02426175,33.47998906,0.822216146
Arctic Lady,H21,18009,3/27/2024 15:01,57.1634,-161.0375,36.76943995,67.24395177,33.92508629,1.069492386
Arctic Lady,H29,18062,3/27/2024 16:51,56.89825,-161.0555,38.31508012,70.07061852,34.45868329,1.365935162
Arctic Lady,G02,18044,3/28/2024 14:17,57.76795,-161.4655,27.079731,49.52341206,32.05711324,0.031729577
Arctic Lady,G11,17991,3/28/2024 16:25,57.46895,-161.478,28.87333602,52.80355691,32.1036439,0.057579946
Arctic Lady,G16,18025,3/28/2024 17:35,57.30325,-161.491,31.701391,57.97550386,32.0529248,0.029402667
Arctic Lady,G30,18026,3/30/2024 15:11,56.8378,-161.516,43.5527612,79.64928968,34.43284162,1.35157868
Arctic Lady,G25,17992,3/30/2024 16:25,57.00375,-161.509,37.67226827,68.8950442,33.290105,0.716725
Arctic Lady,BAIT17,18045,3/30/2024 17:25,57.0759,-161.5695,35.85743172,65.57607113,32.98829588,0.549053269
Arctic Lady,F01,18063,3/31/2024 14:06,57.80845,-161.9315,26.58358259,48.61605585,31.6565772,-0.190790447
Arctic Lady,F09,18010,3/31/2024 16:03,57.5431,-161.942,27.55815309,50.39835038,30.64474037,-0.752922018
Arctic Lady,F14,18080,3/31/2024 17:14,57.37685,-161.949,26.59144047,48.63042634,30.35587508,-0.913402736
Arctic Lady,E17,18046,4/2/2024 14:41,57.2807,-162.4145,28.52251636,52.16197791,31.26773,-0.406816667
Arctic Lady,E08,17993,4/2/2024 16:40,57.5795,-162.404,25.35911094,46.37674208,29.70600685,-1.274440639
Arctic Lady,E03,18027,4/2/2024 17:46,57.74475,-162.3995,24.80355179,45.36073551,30.34637219,-0.918682119
Arctic Lady,BAIT27,18081,4/3/2024 14:32,56.74055,-162.3705,39.09866446,71.50363756,34.39907675,1.332820416
Arctic Lady,BAIT32,18011,4/3/2024 14:42,56.76075,-162.3695,39.48053408,72.20200072,34.38826873,1.326815961
Arctic Lady,BAIT40,18064,4/3/2024 14:57,56.7948,-162.369,38.29479463,70.03352041,34.27788273,1.265490405
Arctic Lady,D03,18028,4/4/2024 14:40,57.7488,-162.8635,25.08663524,45.87843853,29.48161591,-1.399102273
Arctic Lady,D08,17994,4/4/2024 15:51,57.58385,-162.8705,26.20811622,47.92940295,30.0011565,-1.11046861
Arctic Lady,D17,18047,4/4/2024 18:12,57.28555,-162.8745,26.58884452,48.62567887,32.80972953,0.449849741
