POT_ID,AvgTemp,AvgDepth,AvgDepth*,Latitude,Longitude,,,*depths corrected for logger position in pot (added 0.8 m)
A10,-0.6,54,55,57.499,-164.266,,,
A15,-0.1,71,72,57.33316667,-164.2623333,,,
A16,-0.1,65,66,57.3,-164.2615,,,
A17,0.0,65,66,57.26683333,-164.2608333,,,
A19,0.2,66,67,57.2005,-164.2595,,,
A24,1.2,68,69,57.03416667,-164.256,,,
A31,1.6,73,74,56.80183333,-164.251,,,
A34,1.8,80,80,56.70216667,-164.2488333,,,
A35,1.8,73,74,56.669,-164.2481667,,,
A36,1.8,75,76,56.63583333,-164.2473333,,,
A38,1.8,77,78,56.5695,-164.246,,,
A53,2.1,90,90,56.07133333,-164.2356667,,,
A56,2.2,91,92,55.97183333,-164.2335,,,
A57,2.2,92,93,55.9385,-164.2328333,,,
A58,2.4,99,100,55.90516667,-164.2321667,,,
A61,3.5,95,96,55.8055,-164.2301667,,,
B02,-1.3,47,48,55.9905,-163.788,,,
B03,-1.3,47,47,57.7495,-163.8038333,,,
B04,-1.2,48,49,57.7165,-163.8036667,,,
B09,-0.7,50,51,57.5505,-163.802,,,
B19,0.4,63,64,57.219,-163.7988333,,,
B21,0.4,65,66,57.15266667,-163.7981667,,,
B24,0.5,66,67,57.05316667,-163.7973333,,,
B25,0.6,66,67,57.02,-163.797,,,
B32,1.1,72,73,56.78766667,-163.795,,,
B39,1.5,79,80,56.55533333,-163.7928333,,,
B46,1.9,84,85,56.32266667,-163.7908333,,,
B47,2.0,85,86,56.2895,-163.7906667,,,
B50,2.0,87,88,56.19,-163.7896667,,,
B52,2.1,89,89,56.1235,-163.7891667,,,
B56,2.1,91,91,55.9905,-163.788,,,
B68,2.0,85,86,55.59133333,-163.7848333,,,
B72,2.2,84,85,55.45833333,-163.7838333,,,
B76,1.9,66,67,55.32516667,-163.7826667,,,
B80,1.4,48,49,55.19266667,-163.7815,,,
B83,0.9,37,38,55.09283333,-163.7806667,,,
C02,-1.4,46,46,57.78333333,-163.3356667,,,
C04,-1.2,46,47,57.717,-163.3358333,,,
C05,-1.1,45,46,57.68383333,-163.336,,,
C06,-1.1,53,54,57.65066667,-163.3361667,,,
C11,-0.6,49,50,57.48483333,-163.3366667,,,
C21,0.7,61,61,57.15266667,-163.3381667,,,
C22,0.8,62,63,57.1195,-163.3383333,,,
C25,0.7,64,65,57.01916667,-163.3385,,,
C27,0.8,66,66,56.9535,-163.3388333,,,
C30,1.0,69,70,56.87066667,-163.3393333,,,
C42,1.6,83,83,56.45566667,-163.3408333,,,
C46,1.7,85,86,56.32266667,-163.3413333,,,
C48,1.8,93,94,56.25633333,-163.3415,,,
C50,1.9,86,87,56.18983333,-163.3418333,,,
C51,1.9,86,87,56.15683333,-163.342,,,
C61,2.0,89,89,55.82483333,-163.3428333,,,
C64,2.0,85,86,55.725,-163.3433333,,,
C66,2.0,79,79,55.65866667,-163.3435,,,
C69,1.9,68,69,55.55883333,-163.3438333,,,
C72,1.7,61,61,55.45916667,-163.3443333,,,
C75,1.0,51,52,55.3595,-163.3446667,,,
D04,-1.4,41,41,57.7159,-162.8649,,,
D07,-1.3,47,48,57.61695,-162.8700167,,,
D10,-0.9,49,50,57.51678333,-162.8703667,,,
D13,-0.5,49,50,57.41696667,-162.8735167,,,
D15,0.1,50,51,57.35053333,-162.8747667,,,
D27,1.1,62,63,56.9525,-162.8811667,,,
D35,1.5,71,72,56.68716667,-162.8856667,,,
D40,1.6,84,84,56.52116667,-162.8881667,,,
D41,1.6,78,79,56.48783333,-162.8888333,,,
D50,2.0,81,82,56.189,-162.8935,,,
D51,2.0,81,82,56.15566667,-162.894,,,
D58,1.9,82,83,55.92283333,-162.8978333,,,
D62,1.9,74,74,55.78983333,-162.8998333,,,
D68,1.1,50,51,55.5905,-162.9028333,,,
E04,-1.1,40,40,57.71175,-162.40265,,,
E07,-1.3,48,49,57.61165,-162.4035833,,,
E10,-1.2,48,49,57.51288333,-162.40665,,,
E13,-0.9,49,49,57.41316667,-162.4100333,,,
E15,-0.5,52,52,57.3472,-162.4125833,,,
E26,1.3,62,63,56.9825,-162.423,,,
E29,1.4,61,62,56.88283333,-162.426,,,
E31,1.5,66,66,56.8165,-162.4278333,,,
E33,1.6,70,71,56.75016667,-162.4298333,,,
E34,1.6,73,74,56.71683333,-162.4306667,,,
E49,1.9,75,76,56.21916667,-162.4445,,,
E53,1.9,75,75,56.08633333,-162.4481667,,,
E59,1.9,68,68,55.88683333,-162.4538333,,,
E60,1.9,56,57,55.853,-162.4548333,,,
E61,1.9,56,57,55.81933333,-162.4556667,,,
E65,1.5,44,45,55.6875,-162.4591667,,,
E66,1.1,34,35,55.65433333,-162.4601667,,,
F02,-0.1,48,49,57.77498333,-161.92955,,,
F07,0.0,,,57.60968333,-161.9375333,,,
F13,-1.0,51,52,57.41003333,-161.94765,,,
F16,-0.8,48,49,57.31025,-161.95345,,,
F19,-0.5,53,53,57.21106667,-161.9570833,,,
F22,-0.3,55,56,57.11066667,-161.9596667,,,
F23,-0.2,56,57,57.0775,-161.9608333,,,
F24,-0.1,56,56,57.04433333,-161.9621667,,,
F28,0.6,70,71,56.9115,-161.9678333,,,
F29,1.1,74,75,56.87833333,-161.9691667,,,
F36,1.5,81,81,56.646,-161.9788333,,,
F46,1.7,84,85,56.31366667,-161.9925,,,
F50,1.4,70,71,56.181,-161.9976667,,,
F52,1.3,63,64,56.11466667,-162.0003333,,,
F58,0.8,37,38,55.91516667,-162.0083333,,,
G04,0.3,51,51,57.70136667,-161.4667167,,,
G07,0.7,51,52,57.60233333,-161.4715333,,,
G09,0.5,51,52,57.5355,-161.4784667,,,
G12,-0.1,54,55,57.43666667,-161.4810333,,,
G15,-0.3,54,55,57.33703333,-161.4884333,,,
G19,0.5,60,61,57.20386667,-161.4936667,,,
G23,0.8,66,67,57.06965,-161.5033667,,,
G26,0.9,71,72,56.97075,-161.5090833,,,
G29,1.3,79,80,56.8722,-161.5140833,,,
G34,1.5,87,88,56.70536667,-161.5222333,,,
G35,1.4,89,90,56.67281667,-161.52365,,,
G40,1.4,64,65,56.50683333,-161.5327167,,,
G43,1.3,66,67,56.40748333,-161.5379333,,,
G46,1.2,63,64,56.30778333,-161.54315,,,
G48,1.2,61,62,56.2412,-161.5466667,,,
G51,0.6,54,55,56.14165,-161.55165,,,
H01,-0.8,50,51,57.82563333,-160.9888667,,,
H04,-0.4,53,53,57.72428333,-160.9961833,,,
H07,-0.1,57,58,57.62625,-161.0038,,,
H13,0.9,,,57.42641667,-161.0199167,,,
H18,1.0,60,61,57.26118333,-161.03225,,,
H23,1.2,,,57.09683333,-161.0406167,,,
H28,1.3,57,58,56.9311,-161.0479,,,
H34,1.1,71,72,56.7308,-161.0662,,,
H39,1.1,,,56.56506667,-161.0760833,,,
H45,0.7,58,59,56.36586667,-161.0888,,,
H48,0.2,49,49,56.26616667,-161.0952,,,
H51,-0.6,39,40,56.16655,-161.10255,,,
I01,-0.6,54,54,57.81548333,-160.5245833,,,
I09,0.1,61,61,57.55088333,-160.5422167,,,
I12,0.5,61,62,57.45156667,-160.5512833,,,
I14,0.8,60,61,57.38508333,-160.5562167,,,
I17,0.9,64,65,57.2862,-160.5641833,,,
I20,1.0,59,60,57.18678333,-160.5758667,,,
I24,1.0,65,66,57.05185,-160.5842333,,,
I27,1.0,62,63,56.95275,-160.5951333,,,
I29,1.0,68,69,56.88588333,-160.5981333,,,
I32,1.0,68,69,56.78636667,-160.6069833,,,
I35,1.0,65,65,56.68626667,-160.6157,,,
I39,0.8,60,61,56.55565,-160.6235667,,,
I42,0.5,50,51,56.45535,-160.6306833,,,
I44,0.1,41,42,56.38973333,-160.6379,,,
I47,-0.4,32,33,56.29046667,-160.6452667,,,
I50,-0.9,25,26,56.19161667,-160.653,,,
J03,-0.8,49,50,57.7356,-160.06005,,,
J08,-0.2,,,57.57,-160.0768333,,,
J14,0.4,59,60,57.37125,-160.0934667,,,
J17,0.6,60,61,57.27216667,-160.1044667,,,
