POT_ID,temperature_C,depth_m,latitude,longitude,DistanceLoggerfromBottom_m,Gear_Type
A02,-1.543583923,49.14647738,57.76435,-164.272,0.8,Pot
A10,-0.6,54,57.499,-164.266,0.8,Pot
A11,-0.485258667,57.89843715,57.46595,-164.265,0.8,Pot
A12,-0.34611831,59.81271443,57.4328,-164.2645,0.8,Pot
A15,-0.1,71,57.33316667,-164.2623333,0.8,Pot
A16,-0.1,65,57.3,-164.2615,0.8,Pot
A17,0,65,57.26683333,-164.2608333,0.8,Pot
A19,0.2,66,57.2005,-164.2595,0.8,Pot
A24,1.2,68,57.03416667,-164.256,0.8,Pot
A25,1.192870416,68.98072885,57.00125,-164.2555,0.8,Pot
A26,1.263223039,69.72479964,56.968,-164.2545,0.8,Pot
A31,1.6,73,56.80183333,-164.251,0.8,Pot
A32,1.665025,73.86279739,56.7686,-164.2505,0.8,Pot
A34,1.8,80,56.70216667,-164.2488333,0.8,Pot
A35,1.8,73,56.669,-164.2481667,0.8,Pot
A36,1.8,75,56.63583333,-164.2473333,0.8,Pot
A38,1.8,77,56.5695,-164.246,0.8,Pot
A40,1.855717949,80.22748737,56.5029,-164.245,0.8,Pot
A51,2.085334101,90.05236193,56.1381,-164.2365,0.8,Pot
A53,2.1,90,56.07133333,-164.2356667,0.8,Pot
A56,2.2,91,55.97183333,-164.2335,0.8,Pot
A57,2.2,92,55.9385,-164.2328333,0.8,Pot
A58,2.4,99,55.90516667,-164.2321667,0.8,Pot
A60,3.24114554,94.24865202,55.83915,-164.231,0.8,Pot
A61,3.5,95,55.8055,-164.2301667,0.8,Pot
A65,3.445469194,95.28702796,55.6718,-164.228,0.8,Pot
B02,-1.3,47,57.78266667,-163.8041667,0.8,Pot
B03,-1.3,47,57.7495,-163.8038333,0.8,Pot
B04,-1.2,48,57.7165,-163.8036667,0.8,Pot
B06,-0.888634591,49.05531974,57.6502,-163.803,0.8,Pot
B09,-0.7,50,57.5505,-163.802,0.8,Pot
B16,0.223397626,61.01843678,57.31865,-163.8,0.8,Pot
B19,0.4,63,57.219,-163.7988333,0.8,Pot
B21,0.4,65,57.15266667,-163.7981667,0.8,Pot
B24,0.5,66,57.05316667,-163.7973333,0.8,Pot
B25,0.6,66,57.02,-163.797,0.8,Pot
B27,0.791217262,68.59185948,56.95365,-163.7975,0.8,Pot
B32,1.1,72,56.78766667,-163.795,0.8,Pot
B39,1.5,79,56.55533333,-163.7928333,0.8,Pot
B44,1.841066313,84.11782585,56.3892,-163.792,0.8,Pot
B46,1.9,84,56.32266667,-163.7908333,0.8,Pot
B47,2,85,56.2895,-163.7906667,0.8,Pot
B50,2,87,56.19,-163.7896667,0.8,Pot
B52,2.1,89,56.1235,-163.7891667,0.8,Pot
B53,2.097932292,89.99797441,56.0902,-163.789,0.8,Pot
B56,2.1,91,55.9905,-163.788,0.8,Pot
B60,2.196,93.57028904,55.8563,-163.787,0.8,Pot
B61,2.047818878,93.28985577,55.82475,-163.787,0.8,Pot
B64,2.061958869,94.4910632,55.7246,-163.7865,0.8,Pot
B68,2,85,55.59133333,-163.7848333,0.8,Pot
B72,2.2,84,55.45833333,-163.7838333,0.8,Pot
B76,1.9,66,55.32516667,-163.7826667,0.8,Pot
