"CRUISE","VESSEL","SPN","HAUL","STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SAMPLING_FACTOR","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
202301,"Seabrooke",4,"B80","XX67",69322,2,156.89,NA,1,3,2,2,4,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",50,"D68","X102",69322,1,164.36,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",50,"D68","X102",69322,1,171.4,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",50,"D68","X102",69322,1,147.74,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",51,"D67","X220",69322,1,157.84,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,173.06,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,157.5,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,146.05,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,156.82,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,146.14,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,156.69,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,164.23,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,172.19,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,155.79,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",52,"D66","X213",69322,1,153.72,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",53,"D65","XX57",69322,1,150.34,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",53,"D65","XX57",69322,1,145.18,NA,1,3,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",62,"D56","X218",69322,1,171.36,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",62,"D56","X218",69322,2,141.63,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",62,"D56","X218",69322,2,153.01,NA,1,3,2,2,5,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,1,143.54,NA,1,3,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,1,152.52,NA,1,3,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,1,110.21,NA,1,2,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,103.6,NA,1,3,2,2,5,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,125.51,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,161.88,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,162.1,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,125.53,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,140.62,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",63,"E46","XX73",69322,2,129.11,NA,1,3,2,2,6,66,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,150.54,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,134.45,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,154.5,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,170.77,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,144.37,NA,1,3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,118.48,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,144.32,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,1,171.14,NA,1,2,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,99.39,NA,1,2,2,1,4,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,101,NA,1,2,2,1,4,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,103.8,NA,1,2,2,1,4,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,107.84,NA,1,2,2,1,4,44,NA,NA,NA,NA,NA,NA,NA
202301,"Seabrooke",64,"E47","XX61",69322,2,105.41,NA,1,2,2,1,5,44,NA,NA,NA,NA,NA,NA,NA
