"CRUISE","VESSEL","HAUL","STATION","SPECIES_CODE","SPECIES_NAME","SEX","LENGTH","WIDTH","SAMPLING_FACTOR","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS"
202301,"Vesteraalen",20,"W3",69322,"red king crab",1,79.98,NA,1,2,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",20,"W3",69322,"red king crab",1,81.94,NA,1,2,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",20,"W3",69322,"red king crab",2,69.78,NA,1,2,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",20,"W3",69322,"red king crab",2,87.94,NA,1,2,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",20,"W3",69322,"red king crab",2,84.7,NA,1,2,0,0,0,1.06,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",18,"W5",69322,"red king crab",1,140.25,NA,1,3,NA,NA,NA,2.32,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",18,"W5",69400,"horsehair crab",1,101.94,NA,1,1,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",17,"W6",68560,"Tanner crab",1,NA,106.37,1,3,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",17,"W6",69322,"red king crab",2,124.89,NA,1,3,2,2,6,1.51,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",17,"W6",69322,"red king crab",1,146.58,NA,1,3,NA,NA,NA,2.62,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",16,"W7",68560,"Tanner crab",1,NA,94.74,1,2,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",16,"W7",69400,"horsehair crab",1,89.54,NA,1,2,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",23,"V1",68560,"Tanner crab",1,NA,83.29,1,4,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",8,"V2",69322,"red king crab",2,48.76,NA,1,2,0,0,0,0.08,NA,NA,NA,NA,NA,NA,NA
202301,"Vesteraalen",9,"V3",69322,"red king crab",1,87.17,NA,1,2,NA,NA,NA,2.62,NA,NA,NA,NA,NA,NA,NA
