"VESSEL","STATION","LAT_DD","LON_DD","Other","PacificCod","RockSole","Starry.Flounder","YellowfinSole","Pollock","Halibut","GreatSculpin"
"Vesteraalen","O1",57.799886,-163.570139,2.1,0.07,1.7,0.77,2.32,0,0,0
"Vesteraalen","O10",56.306498,-163.566152,100.018422712934,14.41,16.751167192429,0,3.79041009463722,151.96,0,0
"Vesteraalen","O11",56.140413,-163.565729,62.4305712815234,10.37,85.4994287184766,0,0,64.97,4.08,0
"Vesteraalen","O12",55.974294,-163.56531,54.94,23.98,70.63,0,0,60.46,2.41,0
"Vesteraalen","O13",55.808139,-163.564894,134.403943661972,18.62,79.0088028169014,0,5.26725352112676,126.86,2.76,0
"Vesteraalen","O14",55.641947,-163.564482,115.753227176221,29.48,56.2767728237792,0,0,30.76,1.3,0
"Vesteraalen","O15",55.475718,-163.564074,149.366834170854,4.01,34.9547738693467,26.3908542713568,5.76753768844221,41.54,0,1.09
"Vesteraalen","O16",55.309451,-163.563669,1.15,14.74,63.08,1.42,0.94,24.19,0.24,5.86
"Vesteraalen","O17",55.143145,-163.563268,13.06,0,48.99,23.81,0,0,0,0
"Vesteraalen","O2",57.634064,-163.569679,46.13,0.27,2.84,7.07,1.74,0.04,0,0
"Vesteraalen","O3",57.468216,-163.569224,72.6,0.31,11.19,11.06,14.08,0,0.52,0
"Vesteraalen","O4",57.302343,-163.568773,66.4029325197416,4.81,39.8140272792534,26.3090344580043,15.2340057430007,3.79,0,0
"Vesteraalen","O5",57.136443,-163.568326,13.72,5.12,20.32,2.47,18.34,5.93,0,2.85
"Vesteraalen","O6",56.970514,-163.567883,2.7,4.13,15.54,0.82,7.56,12.34,0,0
"Vesteraalen","O7",56.804557,-163.567445,4.02,5.46,11.22,0,4.76,29.62,0,0
"Vesteraalen","O8",56.638569,-163.56701,27.52,13.74,10.45,0,21,60.73,0,0
"Vesteraalen","O9",56.47255,-163.566579,17.7202889150943,76.86,63.6184905660377,0,22.1612205188679,208.98,1.42,0.96
"Vesteraalen","P1",57.799376,-163.101616,3.7,0.16,2.95,2.92,0.83,0.26,0,0
"Vesteraalen","P10",56.306008,-163.116655,63.8,0,28.5,0,4.91,17.25,1.82,0
"Vesteraalen","P11",56.139925,-163.118252,78.5045427553444,0,28.2987470308789,0,8.32671021377672,180.12,0.44,0
"Vesteraalen","P12",55.973808,-163.119833,113.862508361204,4.31,144.637491638796,0,0,69.05,0,0
"Vesteraalen","P13",55.807655,-163.121401,103.473471502591,6.67,91.9265284974093,0,0,36.28,11.63,4.69
"Vesteraalen","P14",55.641466,-163.122955,107.291713483146,1,120.938511235955,0,49.2997752808989,10.5,1.36,1.34
"Vesteraalen","P16",55.308974,-163.126021,1.16,0,1.56,0.42,0.01,0,0,0
"Vesteraalen","P2",57.633556,-163.103349,8.03,0.02,3.16,0.88,1.01,0.1,0,0
"Vesteraalen","P3",57.467711,-163.105067,21.03,0.33,16.36,9.53,3.33,0.06,0,0
"Vesteraalen","P4",57.30184,-163.106768,33.9773598035203,0.14,17.0084404420794,15.3112075317233,34.052992222677,4.74,0,1.21
"Vesteraalen","P5",57.135942,-163.108454,58.0648866799205,0,40.7839045725646,9.96007952286282,35.9611292246521,1.27,0,0
"Vesteraalen","P6",56.970016,-163.110125,17.0886078782453,0.06,94.7422157564906,5.20484333034915,49.0943330349149,0.62,0,0
"Vesteraalen","P7",56.804061,-163.11178,43.6300735710243,2.03,233.854623655914,0,82.6953027730617,0.11,0.75,0
"Vesteraalen","P8",56.638075,-163.11342,25.4237075718016,12.09,312.572976501305,0,30.2533159268929,45.86,2.12,7.95
"Vesteraalen","P9",56.472058,-163.115045,52.3395429616088,28.95,65.2405118829982,0,42.0299451553931,142.7,0,9.32
"Vesteraalen","Q1",57.797112,-162.633129,1.42,0.07,1.15,1.66,0.53,0,0,0
"Vesteraalen","Q10",56.303833,-162.667192,77.38,0,75.42,8.49,25.16,27.34,0,0
"Vesteraalen","Q11",56.137759,-162.670806,64.86,1.01,136.05,5.89,3.98,11.1,0,0
"Vesteraalen","Q12",55.971651,-162.674389,49.6951826363155,3.84,235.629539438857,12.5083112758073,21.4669666490206,170.94,0,0
"Vesteraalen","Q13",55.805507,-162.677939,11.4777884615385,4.39,166.205769230769,57.35125,10.8751923076923,7.73,0.41,1.62
"Vesteraalen","Q14",55.639327,-162.681458,1.56,0,19.25,7.53,7.74,0.14,0.33,0.32
"Vesteraalen","Q15",55.473109,-162.684946,3.32,0,2.79,0.44,5,0,0,0.15
"Vesteraalen","Q2",57.631302,-162.637056,0.86,0.04,0.71,0.28,0.13,0.03,0,0
"Vesteraalen","Q3",57.465467,-162.640946,2.73,0,1.91,0.61,0.48,0.02,0,0
"Vesteraalen","Q4",57.299606,-162.644799,7.83,0,3.24,1.48,1,0.6,0,0
"Vesteraalen","Q5",57.133718,-162.648617,22.8186685552408,0,35.0228441926346,13.139059490085,20.6094277620397,0.85,0,0.7
"Vesteraalen","Q6",56.967802,-162.652401,59.0298186738836,0,86.5536779431664,28.3277158322057,57.8187875507443,3.01,0.29,0.37
"Vesteraalen","Q7",56.801856,-162.656149,51.471828009828,0.55,58.9795331695332,33.168687960688,343.949950859951,6.66,0.33,3.08
"Vesteraalen","Q8",56.63588,-162.659863,89.0912948960302,20.69,130.030127599244,0,111.008577504726,49.72,6.55,0
"Vesteraalen","Q9",56.469873,-162.663544,90.035791481246,7.85,183.392790845518,0,4.86141767323586,28,1.38,0
"Vesteraalen","R1",57.793094,-162.164726,1.29,0.01,4.9,1.9,1.09,0.02,0.07,0
"Vesteraalen","R10",56.299971,-162.217801,48.8827842227378,17.46,242.19837587007,12.1809744779582,48.3178654292343,277.1,0,6.46
"Vesteraalen","R11",56.133914,-162.223434,27.4444287158746,24,173.536299292214,0,13.799271991911,17.92,7.17,5.52
