"VESSEL","SPN","LAT_DD","LON_DD","POT_ID","DATE_HAUL","MaleTanner","FemaleTanner","MaleSnow","FemaleSnow","MaleHybrid","FemaleHybrid","Tanner","Snow","Hybrid","HairCrab","PacificCod","Halibut","GreatSculpin","YellowfinSole","Pollock","StarryFlounder","Other"
"Seabrooke",1,55.0928333333333,-163.780666666667,"B83","3/18/2024",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
"Seabrooke",2,55.1258333333333,-163.781,"B82","3/18/2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Empty pot"
"Seabrooke",3,55.1593333333333,-163.781333333333,"B81","3/18/2024",0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,""
"Seabrooke",4,55.1926666666667,-163.7815,"B80","3/18/2024",0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,""
"Seabrooke",5,55.2256666666667,-163.781833333333,"B79","3/18/2024",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,""
"Seabrooke",6,55.2588333333333,-163.782,"B78","3/18/2024",0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,""
"Seabrooke",7,55.2906666666667,-163.781833333333,"B77","3/18/2024",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,"sea star"
"Seabrooke",8,55.3251666666667,-163.782666666667,"B76","3/18/2024",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,""
"Seabrooke",9,55.3586666666667,-163.783,"B75","3/18/2024",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,""
"Seabrooke",10,55.3918333333333,-163.782833333333,"B74","3/18/2024",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"sea star"
"Seabrooke",11,55.4253333333333,-163.783333333333,"B73","3/18/2024",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,""
"Seabrooke",12,55.4583333333333,-163.783833333333,"B72","3/18/2024",2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,""
"Seabrooke",13,55.4916666666667,-163.784,"B71","3/18/2024",3,0,0,0,0,0,3,0,0,0,5,0,0,6,0,0,"sea star"
"Seabrooke",14,55.5248333333333,-163.784166666667,"B70","3/18/2024",2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,""
"Seabrooke",15,55.5578333333333,-163.7845,"B69","3/18/2024",0,0,1,0,0,0,0,1,0,0,3,0,0,3,0,0,""
"Seabrooke",16,55.5913333333333,-163.784833333333,"B68","3/18/2024",1,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,""
"Seabrooke",17,55.625,-163.785166666667,"B67","3/18/2024",1,0,0,0,0,0,1,0,0,0,8,0,0,7,0,0,""
"Seabrooke",18,55.6578333333333,-163.785333333333,"B66","3/18/2024",7,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0,""
"Seabrooke",19,55.6911666666667,-163.7855,"B65","3/18/2024",27,0,0,0,0,0,27,0,0,0,2,0,0,1,0,0,"pot moved by trawl"
"Seabrooke",20,55.7243333333333,-163.785833333333,"B64","3/18/2024",7,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,""
"Seabrooke",21,55.7576666666667,-163.786333333333,"B63","3/18/2024",8,0,0,0,0,0,8,0,0,0,4,0,0,1,0,0,""
"Seabrooke",22,55.7908333333333,-163.7865,"B62","3/18/2024",4,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,""
"Seabrooke",23,55.8243333333333,-163.786666666667,"B61","3/18/2024",14,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,""
"Seabrooke",24,55.8248333333333,-163.342833333333,"C61","3/19/2024",2,0,0,0,0,0,2,0,0,0,3,0,0,8,0,0,""
"Seabrooke",25,55.7916666666667,-163.343,"C62","3/19/2024",7,0,0,0,0,0,7,0,0,0,2,0,0,4,0,0,""
"Seabrooke",26,55.7573333333333,-163.343166666667,"C63","3/19/2024",2,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,""
"Seabrooke",27,55.725,-163.343333333333,"C64","3/19/2024",0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,"Sea star"
"Seabrooke",28,55.6918333333333,-163.343333333333,"C65","3/19/2024",0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,"1 GPO"
"Seabrooke",29,55.6586666666667,-163.3435,"C66","3/19/2024",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,""
"Seabrooke",30,55.6253333333333,-163.343833333333,"C67","3/19/2024",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,""
"Seabrooke",31,55.5921666666667,-163.343833333333,"C68","3/19/2024",0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,""
"Seabrooke",32,55.5588333333333,-163.343833333333,"C69","3/19/2024",1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,"1 GPO"
"Seabrooke",33,55.5256666666667,-163.344166666667,"C70","3/19/2024",0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,""
"Seabrooke",34,55.4925,-163.344166666667,"C71","3/19/2024",4,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,""
"Seabrooke",35,55.4591666666667,-163.344333333333,"C72","3/19/2024",2,0,0,0,0,0,2,0,0,0,10,0,0,2,0,0,"Sea star"
"Seabrooke",36,55.4258333333333,-163.344333333333,"C73","3/19/2024",3,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,"Sea star"
"Seabrooke",37,55.3925,-163.3445,"C74","3/19/2024",3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,"Sea star"
"Seabrooke",38,55.3595,-163.344666666667,"C75","3/19/2024",9,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,""
"Seabrooke",39,55.3261666666667,-163.344666666667,"C76","3/19/2024",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Sea star"
"Seabrooke",40,55.2926666666667,-163.344833333333,"C77","3/19/2024",16,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,"Sea star"
"Seabrooke",41,55.2593333333333,-163.345,"C78","3/19/2024",9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,""
"Seabrooke",42,55.2261666666667,-163.345,"C79","3/19/2024",4,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,"Sea star"
"Seabrooke",43,55.1926666666667,-163.345166666667,"C80","3/19/2024",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Sea star"
"Seabrooke",44,55.1595,-163.345166666667,"C81","3/19/2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Empty pot"
"Seabrooke",45,55.4075,-162.9055,"D73","3/20/2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sea stars"
"Seabrooke",46,55.4576666666667,-162.904833333333,"D72","3/20/2024",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"sea stars"
"Seabrooke",47,55.491,-162.9045,"D71","3/20/2024",8,0,0,0,0,0,8,0,0,0,2,0,1,0,0,0,"sea stars"
"Seabrooke",48,55.5243333333333,-162.904,"D70","3/20/2024",9,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,"sea stars"
"Seabrooke",49,55.5576666666667,-162.903333333333,"D69","3/20/2024",10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,""
"Seabrooke",50,55.5905,-162.902833333333,"D68","3/20/2024",6,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,""
"Seabrooke",51,55.6236666666667,-162.9025,"D67","3/20/2024",21,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,""
"Seabrooke",52,55.6571666666667,-162.901833333333,"D66","3/20/2024",8,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,""
"Seabrooke",53,55.6903333333333,-162.9015,"D65","3/20/2024",5,0,0,0,0,0,5,0,0,0,3,0,1,0,0,0,""
"Seabrooke",54,55.7236666666667,-162.901,"D64","3/20/2024",3,0,1,0,0,0,3,1,0,0,9,0,0,0,0,0,""
"Seabrooke",55,55.7566666666667,-162.900333333333,"D63","3/20/2024",1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,""
"Seabrooke",56,55.7898333333333,-162.899833333333,"D62","3/20/2024",0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,""
