"VESSEL","STATION","LAT_DD","LON_DD","MaleTanner","FemaleTanner","HairCrab","MaleSnow","FemaleSnow","MaleHybrid","FemaleHybrid","Tanner","Snow","Hybrid"
"Vesteraalen","U8",56.610105,-160.846817,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","U7",56.775968,-160.834822,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","U6",56.941799,-160.822716,0,2,0,0,0,0,0,2,0,0
"Vesteraalen","U5",57.1076,-160.810499,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","U4",57.273372,-160.798169,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","V4",57.262493,-160.337046,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","V5",57.096769,-160.351497,0,0,1,0,0,0,0,0,0,0
"Vesteraalen","V7",56.765232,-160.380003,2,2,0,0,0,0,0,4,0,0
"Vesteraalen","W7",56.752794,-159.925473,1,0,1,0,0,0,0,1,0,0
"Vesteraalen","W6",56.918523,-159.909208,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","W5",57.084221,-159.892792,0,0,1,0,0,0,0,0,0,0
"Vesteraalen","V1",57.759493,-160.292879,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","T2",57.614065,-161.238852,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","U9",56.444209,-160.858704,5,1,0,0,0,0,0,6,0,0
"Vesteraalen","U10",56.278279,-160.870484,0,0,2,0,0,0,0,0,0,0
"Vesteraalen","T10",56.287194,-161.319406,2,1,0,0,0,0,0,3,0,0
"Vesteraalen","T9",56.453162,-161.309656,1,3,0,0,0,0,0,4,0,0
"Vesteraalen","T8",56.619097,-161.299817,3,2,0,0,0,0,0,5,0,0
"Vesteraalen","T7",56.784999,-161.289889,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","T6",56.95087,-161.279869,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","T3",57.448308,-161.24925,1,0,1,0,0,0,0,1,0,0
"Vesteraalen","S11",56.128392,-161.776174,4,3,0,0,0,0,0,7,0,0
"Vesteraalen","S10",56.294425,-161.768526,1,1,0,0,0,0,0,2,0,0
"Vesteraalen","S9",56.460424,-161.760808,8,4,0,0,0,0,0,12,0,0
"Vesteraalen","S8",56.62639,-161.75302,5,3,0,0,0,0,0,8,0,0
"Vesteraalen","S7",56.792325,-161.745161,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","S6",56.958229,-161.737229,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","S5",57.124102,-161.729225,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","S4",57.289948,-161.721146,3,2,0,0,0,0,0,5,0,0
"Vesteraalen","S3",57.455765,-161.712992,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","S2",57.621556,-161.704761,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","R3",57.461485,-162.176905,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","R4",57.295642,-162.18291,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","R5",57.129772,-162.18886,5,0,1,0,0,0,0,5,0,0
"Vesteraalen","R6",56.963873,-162.194754,10,3,0,0,0,0,0,13,0,0
"Vesteraalen","R7",56.797944,-162.200595,2,0,0,0,0,0,0,2,0,0
"Vesteraalen","R8",56.631985,-162.206383,6,1,0,0,0,0,0,7,0,0
"Vesteraalen","R10",56.299971,-162.217801,4,0,0,0,0,0,0,4,0,0
"Vesteraalen","R11",56.133914,-162.223434,4,0,0,0,0,0,0,4,0,0
"Vesteraalen","R12",55.967823,-162.229016,3,1,0,0,0,0,0,4,0,0
"Vesteraalen","Q14",55.639327,-162.681458,172,11,0,0,0,0,0,183,0,0
"Vesteraalen","Q12",55.971651,-162.674389,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","Q10",56.303833,-162.667192,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","Q9",56.469873,-162.663544,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","Q8",56.63588,-162.659863,8,11,0,0,0,0,0,19,0,0
"Vesteraalen","Q7",56.801856,-162.656149,5,2,1,0,0,0,0,7,0,0
