"VESSEL","STATION","LAT_DD","LON_DD","PacificCod","Halibut","GreatSculpin","YellowfinSole","Pollock","StarryFlounder","RockSole","Other"
"Vesteraalen","N1",57.794907,-164.038592,0,0,0,0.65,0,1.35,2.43,2.52
"Vesteraalen","N10",56.301562,-164.015585,36.28,1.46,0,0,70.22,0,14.8932563405797,87.5267436594203
"Vesteraalen","N11",56.135481,-164.013143,54.46,2.62,0,1.01,72.07,0,40.84,58.1
"Vesteraalen","N12",55.969366,-164.010723,20.21,4.06,0,0.71,26.64,0,29.09,60.33
"Vesteraalen","N13",55.803215,-164.008325,10.84,15.02,0,0,474.94,0,6.41,53.66
"Vesteraalen","N14",55.637028,-164.005948,40,39.25,0,0,25.82,0,1.62,213.11
"Vesteraalen","N15",55.470803,-164.003592,26.74,3.79,0,0,101.74,0,1.4,111.31
"Vesteraalen","N16",55.30454,-164.001257,16.11,0.58,0,0,64.43,0,44.3598492840995,77.4501507159005
"Vesteraalen","N17",55.138237,-163.998942,28.48,0,0,0,7.41,0,62.06,14.36
"Vesteraalen","N2",57.62909,-164.03594,0,0,0,0.9,0,5.49,1.96,16.99
"Vesteraalen","N3",57.463247,-164.033313,0,0,0,15.1,1.36,14.09,9.13,61.12
"Vesteraalen","N4",57.297379,-164.03071,0,0,0,11.42,8.67,1.83,17.88,39.41
"Vesteraalen","N5",57.131484,-164.028131,0.38,0,0,30.77,39.37,3.11,29.25,31.76
"Vesteraalen","N6",56.96556,-164.025575,9.07,0,0,75.9455813953488,44.75,0,30.4658139534884,16.3086046511628
"Vesteraalen","N7",56.799607,-164.023043,6.37,0,0,82.650665929329,78.52,0,101.770919970506,21.4394141001645
"Vesteraalen","N8",56.633624,-164.020535,16.72,0,0,17.208870292887,62.59,0,35.9782426778243,28.5728870292887
"Vesteraalen","N9",56.467609,-164.018048,89.79,0.61,0,2.36,110.33,0,15.65,30.06
"Vesteraalen","O1",57.799886,-163.570139,0.07,0,0,2.32,0,0.77,1.7,2.1
"Vesteraalen","O10",56.306498,-163.566152,14.41,0,0,3.79041009463722,151.96,0,16.751167192429,100.018422712934
"Vesteraalen","O11",56.140413,-163.565729,10.37,4.08,0,0,64.97,0,85.4994287184766,62.4305712815234
"Vesteraalen","O12",55.974294,-163.56531,23.98,2.41,0,0,60.46,0,70.63,54.94
